PC3_Pellet_GFP_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2(1!!)_23.3Q	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_CAV3_23.3F
hsa-miR-181c-3p	50	73	85	70	39	36	17	60	57	36	63	59
hsa-miR-454-3p	121	153	176	194	145	125	84	95	97	158	90	137
hsa-miR-191-5p	3038	11860	4741	8425	5549	3019	3002	12617	3480	4714	4196	4314
hsa-miR-215-5p	14	43	54	60	20	20	12	22	27	30	25	24
hsa-miR-941-2-3p	34	34	53	77	66	34	58	51	37	74	59	57
hsa-miR-30e-5p	3733	4392	3777	5837	2663	4350	1443	3074	3029	2707	2673	4275
hsa-miR-1285-1-5p	9	21	62	32	15	13	10	46	35	30	29	30
hsa-miR-5095-3p	4	11	17	11	7	5	7	14	9	5	10	19
hsa-miR-193a-5p	43	133	50	65	54	25	32	110	31	29	62	40
hsa-miR-5701-3-5p	12	225	373	75	38	54	11	42	115	19	399	61
hsa-miR-126-5p	38	42	85	47	25	30	6	31	45	9	54	54
hsa-miR-1292-5p	14	11	11	9	6	3	6	7	12	16	4	7
hsa-miR-1277-5p	12	20	11	18	9	10	6	10	14	5	14	22
hsa-miR-30b-5p	142	715	347	412	158	234	78	370	311	234	314	513
hsa-miR-941-5-3p	34	34	53	77	66	34	58	51	37	74	59	57
hsa-miR-218-2-5p	1081	1051	2351	2110	1153	1699	394	1047	2905	823	1922	2319
hsa-miR-197-3p	84	109	95	209	95	62	70	69	76	111	59	57
hsa-miR-1287-5p	16	34	19	38	21	10	9	27	18	20	15	10
hsa-miR-17-3p	25	84	58	35	28	19	10	30	34	20	21	28
hsa-miR-345-5p	82	144	131	146	95	86	34	109	94	110	89	75
hsa-miR-3615-3p	553	482	677	898	787	296	516	494	388	608	533	280
hsa-miR-499a-5p	28	64	83	65	50	46	5	55	58	15	45	93
