miRNAs	10_S10	11_S11	12_S12	13_S13	14_S14	15_S15	16_S16	17_S17	18_S18	19_S19	1_S1	20_S20	21_S21	22_S22	23_S23	24_S24	25_S25	26_S26	27_S27	28_S28	29_S29	2_S2	30_S30	31_S31	32_S32	33_S33	34_S34	35_S35	36_S36	37_S37	38_S38	39_S39	3_S3	40_S40	41_S41	42_S42	43_S43	44_S44	45_S45	46_S46	47_S47	48_S48	49_S49	4_S4	50_S50	51_S51	52_S52	53_S53	54_S54	5_S5	6_S6	7_S7	8_S8	9_S9
hsa-miR-937-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-10a-3p	689	474	210	632	483	303	741	393	94	306	471	173	26	58	22	46	103	9	1	233	53	378	202	45	135	34	50	97	57	47	49	77	742	45	56	53	140	43	42	85	98	84	43	608	79	13	4	361	25	3	2	496	474	451
hsa-miR-1307-5p	590	344	423	352	480	805	101	40	103	59	235	117	25	18	21	9	21	7	2	49	56	280	112	91	77	33	51	73	47	43	68	173	323	43	101	70	62	55	87	89	59	111	81	543	69	11	1	97	13	1	1	398	649	297
hsa-miR-31-5p	543	249	211	323	479	477	137	175	45	222	544	22	26	22	4	45	50	0	0	149	39	182	123	693	1337	286	529	4590	821	3049	763	778	2171	434	432	967	345	326	228	174	487	306	293	1056	446	35	7	1241	115	1	14	472	469	373
hsa-miR-6875-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-548c-3p	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6868-3p	26	14	4	20	16	10	3	4	3	0	17	4	0	0	0	0	0	0	0	1	0	35	1	7	31	5	14	13	23	17	13	39	18	16	26	16	19	13	12	11	13	4	15	16	29	1	0	11	3	0	0	14	17	19
hsa-miR-6809-3p	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3938-3p	4	1	5	6	0	1	0	0	0	2	4	0	0	1	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	3	7
hsa-miR-8075-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-1-5p	2	2	0	3	1	7	0	0	1	0	4	0	0	1	0	0	0	0	0	2	0	7	1	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	3	4
hsa-miR-4478-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3976-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0
hsa-miR-4763-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-378f-3p	137	113	81	177	104	94	109	49	41	68	52	36	11	21	5	9	17	2	0	47	20	97	54	27	68	20	52	56	39	50	43	43	162	21	38	45	74	56	43	57	46	65	48	186	48	2	4	153	13	3	2	195	76	197
hsa-miR-320e-3p	8	3	2	3	2	9	346	201	68	288	4	97	12	59	10	7	59	10	2	86	19	0	64	3	11	2	3	8	3	14	3	10	17	1	7	2	53	43	71	119	37	63	67	28	42	10	0	431	7	6	1	20	8	11
hsa-miR-374b-5p	3056	1740	1271	2730	2747	1640	45	119	59	170	2681	40	46	29	11	46	43	4	4	100	47	1342	73	352	767	181	391	484	354	326	497	663	2649	459	439	679	399	628	222	192	647	312	399	2272	740	68	18	125	225	7	10	3093	2135	2823
hsa-miR-4672-5p	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3174-5p	2	3	2	9	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	4	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	6	0	2
hsa-miR-1305-5p	5	1	4	3	3	8	0	0	1	1	15	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	3	7
hsa-miR-6852-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	1
hsa-miR-4773-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1910-5p	6	2	0	3	3	1	7	2	1	1	3	1	0	0	0	1	0	0	0	10	1	5	3	1	5	0	5	3	1	1	1	3	18	3	1	2	3	3	4	3	0	2	3	11	2	0	0	9	0	0	0	6	5	1
hsa-miR-6723-3p	1	1	0	0	0	0	1	1	0	2	2	0	8	3	0	12	0	0	0	3	1	0	20	3	0	0	1	2	0	1	2	4	3	2	3	0	0	1	0	0	0	1	1	1	2	0	0	1	6	0	0	2	3	3
hsa-let-7b-3p	0	0	1	1	0	2	0	3	1	3	2	0	0	0	0	1	0	0	0	3	2	4	0	44	169	57	91	80	91	74	74	163	2	59	97	68	64	39	74	43	45	35	41	1	43	16	0	187	27	1	0	0	3	1
hsa-miR-1244-2-5p	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-892c-3p	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	4	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	4
hsa-miR-193b-3p	306	192	349	216	294	393	16	29	16	23	302	26	13	6	3	6	6	1	0	8	7	180	11	42	61	31	41	67	43	49	40	84	144	38	91	57	65	39	40	53	51	70	63	185	67	7	1	49	12	0	2	208	206	182
hsa-miR-5088-5p	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-378i-5p	3432	3406	1956	3719	2596	1658	1913	1225	671	1283	1700	1117	530	451	127	270	440	45	10	679	324	3404	947	484	1124	418	773	591	664	593	967	633	3384	436	724	683	1182	547	430	580	360	792	322	3213	564	102	34	2873	205	40	14	4244	2084	4643
hsa-miR-625-5p	5	7	1	1	1	7	1	1	0	2	5	0	0	1	0	0	1	0	0	1	0	2	2	0	1	2	0	7	2	4	0	3	12	1	2	1	0	2	0	0	1	1	0	7	2	0	0	9	0	0	0	6	6	4
hsa-miR-6728-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-675-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-548i-1-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4284-5p	8	1	0	16	2	0	0	1	1	1	9	0	0	0	0	0	1	0	0	5	2	2	8	0	26	7	21	76	21	52	22	17	16	8	5	12	1	0	0	2	0	1	1	2	1	0	0	1	0	0	1	13	5	14
hsa-miR-7846-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4646-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-543-3p	1	0	0	1	0	0	3	1	2	1	0	12	1	0	1	0	0	1	0	14	5	0	16	0	3	1	3	1	0	2	2	7	1	0	21	2	5	0	8	22	2	3	2	1	5	1	0	16	2	0	0	2	1	1
hsa-miR-4461-3p	14	20	8	17	8	4	3	8	1	9	7	0	14	7	1	17	8	0	0	38	4	11	62	5	7	6	22	9	5	5	8	11	26	1	4	11	4	4	3	3	2	7	6	13	3	4	1	6	4	0	0	15	4	28
hsa-miR-6795-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
hsa-miR-4725-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-1-5p	58484	38268	31722	40898	70074	39301	5087	8260	6694	6579	70400	7666	7604	2063	2467	1302	1839	790	170	3660	2764	46590	6808	1088	2112	395	835	1052	1159	1048	1928	2356	38284	1702	2905	2327	1424	912	751	436	954	1329	698	46047	1492	127	246	755	550	60	95	34938	41829	28893
hsa-miR-3178-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4794-5p	1	0	0	5	3	2	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	3
hsa-miR-3194-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-3164-5p	1	1	1	0	2	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	3	1	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0
hsa-miR-21-3p	86	138	52	84	90	125	20	15	10	61	78	27	5	4	1	3	3	3	0	21	19	66	9	728	1521	474	725	1082	780	839	996	953	62	498	937	732	300	190	124	135	127	270	152	87	128	35	5	370	79	1	7	68	59	52
hsa-miR-514b-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-603-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3939-3p	3	4	1	6	2	1	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	9	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	5	3	2
hsa-miR-4743-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-1197-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-193b-5p	3	6	9	6	7	6	10	11	15	4	2	9	1	2	1	0	0	0	0	9	2	2	4	2	1	1	2	1	3	8	5	3	8	1	3	1	6	1	5	8	2	3	3	4	5	0	0	27	1	0	0	10	4	3
hsa-miR-297-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ac-5p	1	0	0	0	2	0	4	1	0	0	1	0	0	0	0	1	1	0	0	1	1	2	1	0	0	0	0	0	0	0	0	1	5	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2
hsa-miR-5089-3p	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
hsa-miR-154-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548d-1-3p	13	22	15	8	18	8	4	2	1	2	5	0	2	1	0	2	2	1	0	9	0	11	8	0	0	0	0	0	0	0	1	0	13	0	2	0	0	0	2	0	0	0	1	14	0	0	0	0	0	0	0	8	11	6
hsa-miR-1233-2-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
hsa-miR-650-3p	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1225-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4425-3p	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
hsa-miR-130b-5p	771	818	168	717	467	278	84	32	29	30	749	29	4	15	6	21	24	8	0	313	48	1663	249	68	215	61	178	101	140	114	91	225	1334	80	203	100	36	37	35	33	41	32	17	928	51	8	6	126	7	0	3	1465	1317	895
hsa-miR-29c-3p	52	24	37	31	40	50	30	15	18	19	53	21	5	5	0	2	6	0	0	6	3	19	7	14	38	4	18	43	35	46	30	23	49	22	31	39	23	18	13	10	28	16	22	53	43	2	1	39	5	0	2	34	56	28
hsa-miR-4524a-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4286-5p	214	121	247	228	230	444	1	2	3	16	90	4	3	3	0	2	2	0	0	4	4	47	8	11	27	5	16	15	11	9	16	20	120	5	37	7	4	16	14	9	21	21	23	232	25	1	2	7	2	0	0	199	76	128
hsa-miR-527-3p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4636-3p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-124-3-5p	2	2	0	3	1	7	0	0	1	0	4	0	0	1	0	0	0	0	0	2	0	7	1	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	3	4
hsa-miR-1237-3p	1	2	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	3	0	3	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	1	1	1
hsa-miR-3614-5p	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	2	1	1	3	2	0	3	0	1	0	0	1	2	3	1	0	0	1	1	0	3	2	0	0	0	0	0
hsa-miR-6868-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6828-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3158-1-5p	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5090-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-625-3p	177	142	44	178	108	66	86	47	8	62	191	13	10	21	1	22	14	1	2	55	5	220	47	68	79	28	73	100	44	60	46	51	386	27	47	44	48	18	24	36	42	21	9	342	14	5	1	93	13	0	1	204	184	279
hsa-miR-24-1-3p	1613	1250	750	1475	1444	959	3054	2296	473	2214	1016	590	88	308	93	93	247	19	6	577	184	1066	433	4370	14390	3470	5364	15471	12080	13822	7638	8269	2959	4123	6282	7812	5497	5089	17998	12274	13235	8287	13046	2568	17608	682	43	22152	1664	31	50	1789	1103	1159
hsa-miR-4487-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-510-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6874-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4423-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1
hsa-miR-147a-3p	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	2	0	3	0	1	0	0	1	0	0	0	1	0	0
hsa-miR-3648-2-3p	5	1	0	2	2	1	2	6	10	3	2	13	54	9	10	11	24	4	0	11	2	1	69	0	4	1	3	3	1	4	1	3	2	2	4	2	0	1	1	2	4	1	4	3	1	0	0	6	0	0	0	3	0	4
hsa-miR-7853-3p	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6807-3p	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0
hsa-miR-3190-3p	4	3	1	1	6	3	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	3	2	1	0	0	0	0	0	1	1	1	3	0	0	0	1	0	0	0	1	2	1	4	0	0	0	1	0	0	0	2	2	6
hsa-miR-514a-2-3p	1	0	1	1	2	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	2	0	0	0	0	0	0	1	1	2
hsa-miR-1972-2-3p	3	2	0	1	1	1	0	4	0	2	2	0	0	1	0	0	1	0	0	1	0	2	0	2	2	0	3	4	1	1	0	1	1	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	2
hsa-miR-7641-2-5p	43	45	25	35	26	30	112	282	120	250	60	126	199	214	54	171	317	20	0	210	60	23	202	27	29	9	32	26	43	38	52	49	38	23	41	20	59	60	64	54	51	68	57	33	46	16	5	261	98	1	1	51	36	40
hsa-miR-6890-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6071-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3614-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	2	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6724-4-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4422-5p	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-424-5p	194	106	122	158	144	143	365	204	41	175	159	77	5	26	4	14	34	0	1	102	17	53	78	142	264	44	84	1178	57	177	104	126	516	77	63	231	110	35	41	71	122	33	50	354	53	23	1	180	20	0	3	180	156	109
hsa-miR-4504-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6724-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6739-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4309-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-616-5p	0	3	3	2	2	1	1	2	0	0	1	0	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	1	3	0	0	0	0	2	0	0	1	0	0	4	1	0	0	0	0	0	0	4	5	1
hsa-miR-1289-1-5p	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	1	0	0	0	0	0	1	0	0	2	0	1	2	2	0	0	1	2	1	0	0	0	0	0	0	3	1	0
hsa-miR-135a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4749-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-517b-3p	0	1	0	0	0	0	3	0	1	1	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0
hsa-miR-4644-3p	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-548am-3p	16	6	10	7	19	8	4	3	0	6	15	4	2	1	1	2	4	0	0	0	1	16	1	0	2	1	2	2	2	0	2	3	9	0	5	1	1	0	2	0	3	1	1	17	1	0	0	0	2	0	0	10	8	9
hsa-miR-6864-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-4524a-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-652-3p	748	414	528	665	1021	873	205	152	64	183	502	55	47	32	18	29	61	1	1	84	13	339	99	36	92	30	32	108	35	92	43	90	738	27	52	45	169	125	54	45	88	83	73	705	99	12	5	134	40	1	2	604	502	634
hsa-miR-6742-5p	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5191-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
